pnr;canton
1033;FR
1034;NE
1035;ZH
1036;BS
1037;FR
1038;FR
1043;NE
1045;ZH
1047;Genève
1048;ZH
1049;VD
1051;Genève
1052;SG
1053;Genève
1054;SG
1058;BS
1059;
1060;Genève
1065;ZH
1066;Genève
1068;
1069;BE
1070;BS
1071;
1073;BS
1074;Genève
1076;Genève
1080;BE
1084;Genève
1085;ZH
1088;ZH
1089;
1090;
1091;
1092;
1093;NE
1094;ZH
1095;VD
1096;
1099;VD
1100;BE
1101;ZH
1103;Genève
1105;ZH
1107;Genève
1110;ZH
1111;Genève
1112;ZH
1113;Genève
1114;Genève
1115;Genève
1116;BE
1117;Genève
1124;VD
1125;Genève
1126;VD
1129;ZH
1133;Genève
1134;BS
1136;BS
1138;Genève
1139;Genève
1144;NRW
1145;BE
1146;BE
1147;BE
1150;ZH
1152;
1153;BS
1155;NE
1157;ZH
1158;FR
1159;SG
1161;Genève
1162;FR
1163;ZH
1166;GR
1168;BE
1169;BE
1171;ZH
1172;ZH
1173;Genève
1175;BE
1178;FR
1179;ZH
1180;BE
1181;FR
1183;ZH
1184;
1187;ZH
1190;
1191;VD
1196;BS
1197;BE
1198;ZH
1199;BE
1200;VD
1201;BS
1205;Genève
1206;
1209;ZH
1210;Genève
1211;ZH
1215;Genève
1217;VD
1218;
1219;SG
1220;ZH
1223;VD
1230;Genève
1231;FR
1232;BE
1234;ZH
1235;
1237;VD
1239;BS
1240;ZH
1241;GR
1242;Genève
1243;ZH
1244;VD
1253;VD
1254;Île-de-France
1256;VD
1259;VD
1260;BE
1261;
1262;Genève
1264;BE
1268;BE
1272;FR
1273;BS
1274;FR
1275;
1276;
1277;
1278;
1279;
1280;Genève
1281;BE
1282;BS
1286;FR
1288;BS
1289;Genève
1291;SG
1292;
1295;GR
1296;ZH
1297;BS
1298;VD
1299;FR
1300;VD
1301;ZH
1303;BE
1304;ZH
1306;BE
1307;BS
1308;BE
1309;Genève
1310;FR
1313;BS
1315;NE
1316;BE
1317;BS
1318;VD
1320;Genève
1321;ZH
1322;BE
1325;VD
1326;Genève
1328;SG
1330;Genève
1332;BS
1334;
1335;ZH
1336;BE
1337;
1338;VD
1341;VD
1342;BS
1346;ZH
1349;ZH
1350;Genève
1352;ZH
1353;
1355;Genève
1357;SG
1359;Genève
1360;
1361;
1362;NE
1363;
1364;VD
1365;BS
1366;Genève
1367;VD
1368;SG
1370;BE
1371;FR
1374;
1375;Genève
1378;GR
1379;VD
1383;Genève
1384;Genève
1386;ZH
1387;BE
1388;ZG
1389;FR
1391;SG
1392;BS
1393;Genève
1394;ZH
1395;BE
1396;ZH
1397;FR
1399;ZH
1400;GR
1402;
1403;ZH
1404;
1405;BS
1408;NE
1410;BS
1412;BE
1413;NE
1415;FR
1416;BS
1419;VD
1420;FR
1421;SG
1422;Genève
1423;Genève
1425;VD
1426;Genève
1430;VD
1431;ZG
1432;BE
1433;VD
1435;BE
1436;BE
1438;BS
1439;Genève
1440;Genève
1442;FR
1443;Genève
1447;VD
1448;
1449;BS
1450;
1451;
1452;
1453;NE
1454;
1457;ZH
1458;NE
1459;ZH
1462;Genève
1464;ZH
1466;ZH
1468;SG
1469;FR
1470;VD
1471;
1472;ZH
1473;Genève
1474;BE
1475;ZH
1477;ZH
1479;Genève
1480;Genève
1481;VD
1483;NE
1484;BE
1485;NE
1486;VD
1487;Genève
1488;VD
1489;BE
1490;
1492;BE
1493;FR
1494;NE
1495;Genève
1498;BE
1501;VD
1503;
1505;GL
1506;BE
1507;BE
1509;Genève
1511;BE
1512;FR
1513;ZH
1514;
1515;BE
1517;SG
1519;VD
1520;VD
1521;SG
1522;
1524;NE
1525;ZH
1526;Genève
1528;NE
1529;VD
1530;VD
1531;
1532;SG
1533;Genève
1535;Genève
1536;
1537;BS
1538;VD
1542;VD
1546;BS
1548;ZG
1549;BS
1552;BE
1553;FR
1554;VD
1556;
1559;VD
1560;
1562;VD
1563;ZH
1567;Genève
1568;Genève
1569;Genève
1572;BE
1573;AG
1574;BE
1576;ZH
1577;ZH
1579;Genève
1580;SG
1581;NE
1583;VD
1584;ZH
1585;ZH
1586;ZH
1587;Genève
1588;ZH
1592;ZH
1593;Genève
1595;ZH
1598;VD
1601;SG
1603;
1604;Genève
1606;GR
1607;FR
1611;
1612;BE
1615;
1618;BS
1619;SG
1621;BS
1624;FR
1625;BS
1626;SG
1628;ZH
1630;Genève
1632;ZH
1634;ZH
1635;ZH
1636;BE
1637;VD
1638;VD
1639;
1640;ZH
1641;
1645;VD
1648;NE
1649;
1650;Genève
1651;
1653;VD
1654;VD
1655;
1657;ZH
1659;FR
1662;ZH
1665;NE
1666;BS
1667;BS
1668;Genève
1672;FR
1673;ZH
1674;SG
1675;SG
1676;VD
1678;ZH
1679;ZH
1680;VD
1682;ZH
1683;BS
1684;BS
1686;GR
1688;ZH
1689;BE
1695;Genève
1697;SG
1699;
1701;
1702;
1703;
1704;
1705;FR
1707;Genève
1708;SG
1709;Genève
1711;TI
1712;SG
1713;BE
1716;ZH
1719;FR
1720;ZH
1721;ZH
1722;Genève
1723;BS
1724;Genève
1725;ZH
1727;VD
1728;BE
1729;ZH
1730;ZH
1731;Genève
1732;
1733;BS
1735;BS
1736;BS
1738;ZH
1739;BE
1740;ZH
1743;
1746;Berlin
1747;SG
1749;Genève
1752;VD
1753;ZH
1755;BS
1756;VD
1758;Genève
1759;ZH
1761;Genève
1763;Genève
1766;
1767;BS
1768;FR
1769;BS
1770;ZH
1771;ZH
1772;ZH
1775;VD
1776;VD
1779;BE
1780;VD
1781;Genève
1782;BE
1783;FR
1787;Genève
1788;Genève
1789;Genève
1791;TI
1794;Genève
1796;BS
1797;BS
1798;FR
1799;BE
1800;FR
1801;Genève
1802;BE
1803;BE
1805;BE
1807;FR
1808;
1810;ZH
1812;
1813;
1814;
1815;
1818;Genève
1819;Genève
1820;Genève
1821;ZH
1822;BS
1824;ZH
1827;Genève
1829;BE
1832;BE
1833;NE
1834;SG
1835;BS
1838;BS
1842;ZH
1843;Genève
1845;ZH
1847;ZH
1848;Île-de-France
1849;Genève
1851;Genève
1853;Genève
1854;ZH
1856;NE
1858;Genève
1859;Genève
1861;ZH
1862;ZH
1864;BE
1867;ZH
1868;VD
1869;
1870;Genève
1871;BS
1873;Genève
1874;BE
1878;BE
1879;BE
1880;FR
1881;Genève
1882;FR
1886;FR
1887;FR
1888;NE
