pnr;canton
36105;VD
36106;ZH
36107;
36109;BS
36110;BE
36111;ZH
36113;ZH
36115;ZH
36116;BE
36117;VD
36119;BE
36121;Genève
36122;Genève
36127;Genève
36128;
36130;Genève
36131;Genève
36132;BE
36133;BE
36134;VD
36135;ZH
36136;ZH
36138;VD
36139;BS
36140;BE
36141;VD
36143;BE
36145;ZH
36146;FR
36149;ZH
36150;FR
36152;FR
36153;BS
36155;VD
36158;BS
36162;BE
36163;BE
36164;VD
36165;ZH
36166;Genève
36168;AG
36170;BS
36173;VD
36174;BS
36176;ZH
36179;Genève
36180;FR
36182;ZH
36183;FR
36184;VD
36185;FR
36187;VD
36188;Genève
36189;BS
36192;BE
36193;ZH
36197;ZH
36198;ZH
36200;VD
36201;VD
36202;Genève
36204;BS
36207;BS
36208;ZH
36209;VD
36210;ZH
36211;VD
36212;ZH
36213;FR
36214;VD
36215;ZH
36216;NE
36217;VD
36219;BE
36220;ZH
36222;VD
36223;SG
36225;Genève
36226;BE
36228;BE
36229;BE
36231;ZH
36234;BE
36235;BE
36236;NE
36238;VD
36241;BS
36243;BE
36244;ZH
36245;ZH
36247;Genève
36248;VD
36249;ZH
36254;SG
36255;BE
36256;Genève
36257;BE
36259;BE
36262;BS
36263;NE
36264;FR
36266;BS
36267;ZH
36271;ZH
36272;ZH
36273;ZH
36275;ZH
36276;SG
36277;TI
36278;BS
36280;VD
36281;BE
36283;Genève
36284;VD
36285;BE
36286;
36288;ZH
36289;ZH
36290;Genève
36291;ZH
36292;ZH
36293;ZH
36294;BS
36295;BS
36296;Genève
36297;VD
36298;VD
36300;ZH
36301;VD
36302;ZH
36303;BE
36305;ZH
36306;VD
36313;ZH
36315;ZH
36316;ZH
36322;BS
36324;ZH
36326;SG
36327;ZH
36328;Genève
36330;ZH
36332;VD
36337;VD
36338;Genève
36339;AG
36340;ZH
36341;BE
36343;VD
36344;ZH
36345;Genève
36347;
36349;VD
36351;Genève
36352;BS
36355;ZH
36356;FR
36358;BE
36359;NE
36361;Wien
36363;ZH
36364;ZH
36365;TI
36366;VD
36367;VD
36368;Genève
36369;ZH
36370;ZH
36371;BE
36372;BE
36373;ZH
36374;ZH
36375;ZH
36376;VD
36377;ZH
36378;BE
36379;BS
36380;VD
36381;ZH
36382;BE
36383;ZH
36384;BE
36385;VD
36386;VD
36387;ZH
36388;ZH
36389;ZH
36390;FR
36395;ZH
36396;ZH
36397;Genève
36399;VD
36401;BE
36402;ZH
36403;ZH
36404;ZH
36405;NE
36406;ZH
36407;BE
36408;ZH
36409;VD
36410;ZH
36411;BE
36412;VD
36413;BE
36414;ZH
36415;BE
36416;VD
36417;BE
36418;NE
36419;Genève
36421;FR
36423;ZH
36424;VD
36425;VD
36426;VD
36427;BE
36429;ZH
36431;ZH
36432;BS
36437;ZH
36440;VD
36441;ZH
36442;ZH
36443;BE
36444;NE
36445;ZH
36446;BE
36447;Genève
36449;NE
36450;BS
36451;Genève
36452;VD
36454;Genève
36456;BE
36459;BE
36464;ZH
36467;BE
36468;FR
36470;ZH
36472;VD
36475;VD
36476;BS
36478;Genève
36480;AG
36481;Genève
36482;BE
36483;FR
36484;VD
36485;Genève
36486;ZH
36487;ZH
36488;FR
36489;VD
36491;VD
36493;BS
36494;BS
36495;BS
36496;ZH
36497;VS
36498;Genève
36499;VD
36501;Genève
36503;ZH
36504;VD
36505;Genève
36506;BE
36508;BE
36509;Genève
36510;VD
36511;VD
36513;ZH
36514;VD
36515;Genève
36520;Genève
36521;VD
36522;Genève
36523;Genève
36524;ZH
36526;ZH
36527;VD
36530;BE
36531;FR
36536;BE
36539;BE
36541;ZH
36542;ZH
36543;ZH
36546;Genève
36547;ZH
36549;VD
36550;FR
36551;VD
36552;ZH
36553;VD
36554;VD
36555;ZH
36557;ZH
36559;FR
36561;VD
36562;VD
36564;ZH
36566;TI
36567;BS
36569;BS
36570;ZH
36571;BS
36572;BS
36574;VD
36575;BS
36577;ZH
36578;Genève
36585;VD
36586;ZH
36587;Genève
36589;BS
36591;VD
36593;VD
36595;ZH
36597;BS
36598;BE
36599;BS
36600;Genève
36603;BE
36605;BS
36610;Genève
36611;VD
36612;ZH
36613;ZH
36615;NE
36616;VD
36617;Genève
36624;VD
36631;ZH
36635;VD
36636;ZH
36643;ZH
36646;SG
36669;BS
36671;BS
36686;BS
36688;VD
36697;ZH
36698;BS
36699;TI
36700;ZH
36707;Genève
36708;BE
36712;ZH
36713;ZH
36714;BS
36717;BS
36724;VD
36726;FR
36727;Genève
36729;ZH
36731;ZH
36734;ZH
36736;VD
36737;ZH
36738;FR
36740;ZH
36741;NE
36743;Genève
36744;BS
36746;VD
36747;Genève
36750;VD
36752;ZH
36764;BE
36780;Genève
36782;BS
36804;Genève
36812;ZH
36843;ZH
36849;ZH
36851;Genève
36862;BE
36866;Genève
36867;BE
36890;VD
36896;ZH
36898;VD
36900;VD
36907;VD
36910;
36913;BE
36916;VD
36917;ZH
36921;ZH
36924;FR
36930;ZH
36931;BE
36943;VD
36944;NE
36945;ZH
36950;ZH
36959;ZH
36960;Genève
36962;BE
36963;ZH
36967;VD
36990;ZH
37021;VD
37022;
37023;ZH
37031;ZH
37033;VD
37089;Genève
37123;VD
37126;BE
37141;ZH
37145;ZH
37146;ZH
37148;VD
37150;VD
37151;FR
37153;VD
37155;VD
37156;Genève
37158;ZH
37159;Genève
37161;
37163;FR
37164;BS
37165;
37166;BE
37171;BS
37173;
37188;ZH
37191;Genève
37192;BE
37210;Genève
37213;ZH
37218;ZH
37219;FR
37220;BS
37226;Genève
37234;BS
37237;ZH
37242;VD
37243;VD
37244;ZH
37246;ZH
37247;VD
37248;BE
37255;VD
37258;ZH
37264;
37265;Genève
37266;BE
37269;BS
37270;BE
37271;BS
37274;ZH
37275;VD
37276;NE
37279;ZH
37280;BE
37281;BS
37282;BS
37287;BS
37290;BS
37291;BE
37292;VD
37294;Genève
37295;ZH
37296;Genève
37298;ZH
37299;ZH
37301;VD
37303;Genève
37304;Genève
37305;LU
37306;FR
37311;NE
37312;ZH
37313;BE
37314;BS
37315;FR
37316;FR
37317;ZH
37318;VD
37319;ZH
37321;VD
37323;ZH
37325;BS
37326;NE
37327;VD
37330;VD
37331;Genève
37334;AG
37335;Genève
37336;BE
37338;BS
37339;BS
37340;VS
37341;ZH
37344;BS
37345;NE
37346;VD
37347;BE
37348;NE
37349;ZH
37351;VD
37352;VD
37353;ZH
37354;ZH
37356;ZH
37357;BS
37358;BE
37360;Île-de-France
37361;NE
37363;ZH
37364;ZH
37366;NE
37367;Genève
37369;ZH
37370;ZH
37371;BS
37374;Genève
37375;ZH
37377;BE
37378;ZH
37379;BE
37380;BS
37381;ZH
37382;Genève
37383;ZH
37384;ZH
37385;BE
37386;FR
37387;NE
37388;ZH
37390;Genève
37391;
37393;VD
37395;BE
37397;BS
37399;ZH
37400;SG
37404;BS
37405;BE
37406;ZH
37408;ZH
37409;VD
37410;ZH
37411;BS
37413;FR
37414;ZH
37415;BE
37416;ZH
37417;BE
37418;ZH
37420;NE
37423;BS
37426;FR
37427;VD
37429;BS
37430;SG
37432;VD
37433;Genève
37434;BS
37435;BE
37436;Genève
37439;VD
37440;ZH
37444;VD
37445;AG
37449;Genève
37451;ZH
37452;Genève
37453;VD
37455;VD
37457;BL
37458;ZH
37459;ZH
37461;VD
37462;ZH
37464;Genève
37465;ZH
37467;VS
37468;BS
37470;VD
37471;VD
37472;BS
37474;VD
37477;VD
37478;BE
37479;FR
37480;ZH
37481;ZH
37482;VD
37483;VD
37485;VD
37486;VD
37487;Genève
37489;BS
37490;ZH
37491;BE
37492;Genève
37493;BE
37494;BS
37495;AG
37496;BS
37497;ZH
37498;NE
37499;VD
37500;ZH
37502;Genève
37503;VD
37504;Genève
37505;BE
37506;Genève
37507;Genève
37508;Genève
37510;ZH
37511;BE
37512;FR
37513;ZH
37515;VD
37516;Genève
37518;ZH
37519;ZH
37520;VD
37521;LU
37522;ZH
37524;VD
37525;ZH
37526;VD
37527;BE
37531;Genève
37533;Genève
37534;BS
37536;Genève
37537;ZH
37538;
37541;ZH
37543;ZH
37544;VD
37545;BE
37546;ZH
37548;NE
37549;VD
37550;Genève
37551;Genève
37552;Genève
37553;Genève
37554;VD
37557;BS
37560;BE
37561;BE
37563;Genève
37564;SG
37565;ZH
37566;BE
37567;Genève
37570;Genève
37573;VD
37575;Genève
37576;Genève
37577;BE
37578;ZH
37579;ZH
37580;BE
37581;VD
37582;BE
37583;Genève
37585;Genève
37586;BE
37587;Genève
37588;VD
37590;VD
37591;ZH
37592;BE
37593;NE
37594;NE
37595;Genève
37596;VD
37598;Genève
37599;VD
37600;VD
37602;FR
37603;ZH
37604;Genève
37605;ZH
37606;BE
37607;BE
37608;ZH
37609;VD
37610;Genève
37611;BS
37612;VD
37616;Genève
37618;BE
37619;Genève
37620;BE
37621;Genève
37622;BE
37623;BE
37624;BS
37625;Genève
37626;Genève
37633;BS
37634;NE
37636;Genève
37637;ZH
37640;BS
37641;NE
37642;VD
37643;VD
37644;BE
37645;BS
37646;ZH
37647;Genève
37649;ZH
37650;ZH
37651;NE
37652;NE
37653;NE
37655;NE
37656;BS
37657;FR
37659;Genève
37660;VD
37661;ZH
37662;ZH
37663;BE
37664;VD
37666;VD
37668;VD
37669;ZH
37670;VD
37671;ZH
37672;BE
37675;Genève
37676;FR
37677;ZH
37678;BE
37680;BE
37681;Genève
37682;Genève
37683;VD
37685;VD
37687;VD
37689;ZH
37690;Genève
37692;Genève
37694;VD
37698;ZH
37699;BE
37701;ZH
37702;VD
37703;Genève
37704;VD
37705;Genève
37707;Genève
37711;Genève
37716;ZH
37717;ZH
37720;ZH
37723;VD
37725;NE
37727;VD
37729;VD
37730;VD
37731;ZH
37732;ZH
37733;BS
37734;Genève
37738;SG
37741;BE
37744;ZH
37745;ZH
37760;BS
37763;BE
37768;ZH
37770;VD
37778;Genève
37792;BS
37798;ZH
37799;Genève
37802;Genève
37805;VD
37810;Genève
37811;ZH
37819;Genève
37821;Genève
37836;BS
37837;
37838;BE
37839;ZH
37843;ZH
37844;ZH
37845;ZH
37846;Genève
37854;ZH
37861;
37868;ZH
37870;Genève
37871;
37872;Genève
37882;BE
37890;FR
37891;ZH
37895;ZH
37897;Genève
37901;ZH
37904;ZH
37905;ZH
37911;BS
37912;BS
37929;VD
37931;Genève
37932;ZH
37939;BE
37940;ZH
37951;ZH
37957;BS
37967;ZH
37986;Genève
37987;ZH
37997;Genève
38007;BS
38008;ZH
38009;VD
38012;
38021;TI
38022;BS
38023;ZH
38024;VS
38026;Genève
38027;Genève
38031;ZH
38049;NE
38065;ZH
38067;ZH
38072;BS
38085;ZH
38089;VD
38097;
38098;VD
38104;NC
38118;BS
38119;BS
38129;BE
38159;Genève
38162;Genève
38166;ZH
38176;ZH
38181;BE
38182;BE
38183;ZH
38249;ZH
38266;NE
38267;NE
38268;ZH
38270;BS
38271;FR
38272;VS
38273;BE
38274;NE
38275;VD
38279;ZH
38280;ZH
38297;ZH
38304;BS
38317;ZH
38318;ZH
38319;
38333;
38334;
38335;
38336;
38338;BE
38339;Genève
38344;ZH
38346;ZH
38349;BE
38350;BE
38352;ZH
38353;Genève
38354;FR
38357;NE
38358;Genève
38359;ZH
38360;ZH
38361;ZH
38362;ZH
38364;BE
38365;Genève
38384;VD
38386;ZH
38388;VD
38392;ZH
38395;ZH
38399;BE
38403;BE
38412;VD
38414;ZH
38421;Genève
38426;VD
38430;BE
38435;Genève
38447;ZH
38450;Genève
38453;NE
38454;VD
38476;ZH
38481;BE
38482;VD
38505;FR
38508;ZH
38510;ZH
38511;VD
38519;BE
38520;Genève
38527;BE
38528;VD
38529;VD
38534;BE
38535;BE
38544;BE
38545;NE
38546;ZH
38547;BE
38549;ZH
38552;BE
38555;ZH
38556;BE
38557;Genève
38560;BS
38561;ZH
38562;BS
38563;VD
38565;ZH
38566;VD
38570;VD
38571;NE
38573;VD
38574;VD
38581;Genève
38584;NE
38587;VD
38590;ZH
38591;Genève
38593;ZH
38599;NE
38601;VD
38602;ZH
38605;ZH
38608;VD
38609;ZH
38610;ZH
38617;Genève
38620;ZH
38621;Genève
38631;ZH
38633;ZH
38634;ZH
38635;VD
38636;ZH
38638;BS
38641;VD
38647;ZH
38652;VD
38656;Genève
38660;NE
38663;BS
38664;ZH
38668;ZH
38671;BE
38672;VD
38675;Genève
38677;ZH
38679;ZH
38682;BE
38684;VD
38685;ZH
38688;ZH
38693;BE
38696;VD
38698;ZH
38704;BE
38710;AG
38731;NE
38733;VD
38757;ZH
38762;BE
38786;BS
38792;VD
38793;BS
38794;Genève
38799;VD
38803;BE
38807;ZH
38813;BE
38815;Genève
38816;Genève
38818;NRW
38820;ZH
38821;ZH
38824;ZH
38826;BS
38837;BE
38847;ZH
38848;BS
38850;Genève
38852;VD
38853;Genève
38854;VD
38856;Genève
38862;VD
38866;BS
38868;ZH
38873;VD
38877;BE
38905;ZH
38907;Genève
38908;BE
38909;Genève
38911;ZH
38915;BE
38917;VD
38919;Genève
38920;BE
38921;NE
38925;ZH
38936;ZH
38938;VS
38939;Genève
38952;ZH
38954;
38956;ZH
38958;BS
38959;ZH
38961;ZH
38963;ZH
38965;ZH
38966;ZH
38967;VD
38980;VD
38986;SG
38997;BE
39002;ZH
39004;ZH
39009;ZH
39012;VD
39013;BE
39016;Genève
39024;BE
39025;VD
39028;Genève
39031;ZH
39032;ZH
39033;ZH
39036;
39043;ZH
39046;ZH
39047;ZH
39048;FR
39050;VD
39051;BE
39052;VD
39053;ZH
39054;BS
39055;Genève
39058;BE
39059;BE
39080;ZH
39081;NE
39083;FR
39084;BS
39089;ZH
39094;BE
39095;VD
39105;NE
39113;ZH
39114;VD
39115;NE
39116;NE
39117;ZH
39118;Genève
39119;ZH
39120;GR
39121;BS
39122;BS
39123;BE
39124;Genève
39126;BE
39127;BS
39128;VS
39129;ZH
39130;BS
39131;BS
39132;NE
39133;VD
39134;ZH
39136;BS
39141;NE
39142;NE
39143;NE
39144;ZH
39145;Genève
39146;ZH
39148;VD
39149;ZH
39151;BE
39152;ZH
39153;VD
39156;VD
39158;BE
39159;VD
39160;ZH
39161;TI
39162;VD
39163;BS
39165;ZH
39166;Genève
39168;BE
39169;VD
39172;ZH
39173;ZH
39174;NE
39175;BS
39176;ZH
39177;GR
39179;VD
39180;VD
39181;FR
39182;BS
39183;Genève
39184;VD
39185;BE
39186;BE
39188;ZH
39189;BS
39191;ZH
39192;GR
39193;GR
39195;ZH
39197;NE
39198;VD
39199;Genève
39200;BE
39201;ZH
39202;ZH
39203;BS
39204;FR
39205;ZH
39206;BE
39207;ZH
39209;BE
39210;BS
39212;Genève
39213;VD
39214;BE
39215;VD
39216;ZH
39217;ZH
39220;ZH
39225;ZH
39228;ZH
39229;BS
39241;VS
39243;VD
39244;BE
39247;Genève
39248;BS
39250;ZH
39251;ZH
39252;VD
39253;BS
39256;VD
39257;FR
39259;Genève
39260;ZH
39262;Genève
39263;BS
39264;LU
39265;ZH
39266;BE
39268;BE
39270;BS
39277;Genève
39283;BE
39287;ZH
39288;Genève
39289;ZH
39290;BE
39293;BE
39294;ZH
39295;BE
39296;ZH
39297;BE
39298;BE
39303;Genève
39304;ZH
39305;SG
39307;Genève
39310;ZH
39311;Genève
39312;NRW
39314;ZH
39315;ZH
39316;BE
39317;Genève
39318;Genève
39319;ZH
39320;VD
39321;Île-de-France
39323;ZH
39324;BE
39325;AG
39327;FR
39328;ZH
39329;BS
39331;BS
39332;NE
39333;ZH
39334;VD
39336;ZH
39337;NE
39341;BE
39342;ZH
39344;Genève
39345;ZH
39347;NE
39348;Genève
39349;Genève
39351;VD
39352;BS
39353;BE
39355;BE
39356;VD
39357;VS
39358;ZH
39361;VD
39362;ZH
39364;ZH
39365;ZH
39370;NE
39371;Genève
39372;Genève
39373;VD
39376;ZH
39377;NE
39378;VD
39379;VD
39380;Genève
39382;BS
39384;
39385;ZH
39386;FR
39388;VD
39390;
39391;VD
39392;BE
39393;Genève
39394;Genève
39395;ZH
39396;ZH
39398;ZH
39400;BS
39401;Genève
39402;BE
39404;Genève
39405;ZH
39410;Genève
39411;VD
39413;ZH
39415;
39417;VD
39419;BE
39420;Genève
39422;ZH
39426;Genève
39427;ZH
39429;GR
39431;BE
39432;BS
39435;VD
39439;BS
39441;BS
39444;Genève
39445;ZH
39446;BS
39447;BE
39448;BE
39449;ZH
39451;BE
39452;
39454;VD
39461;BS
39463;VD
39464;VD
39465;ZH
39466;ZH
39468;VD
39469;FR
39471;ZH
39472;BE
39476;BE
39477;Genève
39478;VD
39480;BS
39481;VD
39482;ZH
39483;VD
39484;ZH
39485;NE
39488;VD
39490;VD
39491;ZH
39492;VD
39493;BS
39494;VD
39495;VD
39496;VD
39497;ZH
39498;ZH
39500;VD
39501;ZH
39502;ZH
39503;ZH
39504;ZH
39505;BE
39507;VD
39509;BS
39510;Genève
39512;ZH
39513;Genève
39516;ZH
39517;ZH
39519;HE
39520;ZH
39521;NE
39522;BE
39523;VD
39526;VD
39528;Genève
39529;BE
39530;NE
39538;BS
39540;VD
39543;ZH
39544;VD
39545;VD
39547;FR
39548;BE
39549;ZH
39550;BE
39551;Genève
39553;Genève
39555;SG
39557;Genève
39558;ZH
39562;ZH
39564;VD
39566;VD
39567;Genève
39571;VD
39572;VD
39574;VD
39575;SG
39576;VS
39577;ZH
39578;VD
39579;VD
39580;ZH
39581;VD
39582;ZH
39583;ZH
39587;Genève
39588;ZH
39590;BE
39592;BE
39593;VD
39595;FR
39597;ZH
39602;ZH
39604;Genève
39605;BE
39611;FR
39612;FR
39614;VD
39619;BE
39620;VD
39625;Genève
39626;VD
39627;VD
39631;NE
39632;Genève
39634;VD
39635;BE
39637;ZH
39640;ZH
39646;Genève
39647;VD
39648;FR
39650;VD
39652;ZH
39655;ZH
39656;
39657;VD
39658;Genève
39659;LU
39660;VD
39661;ZH
39662;ZH
39668;ZH
39669;BS
39670;Genève
39674;VD
39676;BE
39678;BE
39679;ZH
39681;ZH
39685;ZH
39686;VD
39688;ZH
39689;Genève
39690;Genève
39691;BS
39692;Genève
39695;BE
39699;ZH
39700;ZH
39701;Genève
39702;ZH
39704;VD
39705;VD
39706;ZH
39707;VD
39709;Genève
39713;VD
39714;BE
39716;Genève
39717;Genève
39718;ZH
39719;AG
39720;Genève
39721;BS
39728;ZH
39729;Genève
39730;BE
39731;BE
39732;BE
39733;BE
39734;Genève
39735;VD
39737;ZH
39738;BS
39739;BE
39741;NE
39743;ZH
39744;BE
39747;BS
39749;VD
39750;VD
39753;VD
39754;VD
39756;TI
39757;Genève
39758;NE
39761;BS
39762;BE
39763;VD
39764;TI
39766;Genève
39767;Genève
39768;Genève
39770;Genève
39772;Genève
39773;BS
39774;BS
39801;Genève
39808;Genève
39811;BE
39813;ZH
39815;LU
39816;Genève
39818;BS
39819;Genève
39825;VD
39827;TI
39845;VD
39847;Genève
39848;ZH
39857;VD
39858;ZH
39864;Genève
39865;VD
39867;Genève
39895;Genève
39915;VD
39932;ZH
39934;BE
39959;ZH
39960;ZH
40001;ZH
40012;NE
40013;Genève
40014;BS
40020;VD
40025;BS
40026;VD
40031;Genève
40040;ZH
40059;BS
40060;VD
40062;ZH
40063;BE
40076;VD
40112;Genève
40134;ZH
40137;Genève
40181;BE
40225;NE
40227;ZH
40234;BS
40235;BS
40236;ZH
40237;ZH
40239;Genève
40242;VD
40248;ZH
40249;ZH
40251;FR
40260;Genève
40261;BS
40264;ZH
40265;ZH
40266;NE
40267;BE
40268;VD
40269;VD
40270;ZH
40271;Genève
40281;ZH
40283;VD
40285;NRW
40286;VD
40287;ZH
40289;BS
40290;VD
40291;ZH
40292;Genève
40293;Genève
40299;ZH
40302;VD
40303;ZH
40306;ZH
40307;ZH
40311;VD
40314;Genève
40315;ZH
40316;ZH
40318;ZH
40320;ZH
40322;ZH
40323;BE
40324;BE
40327;ZH
40329;ZH
40330;FR
40331;LU
40332;VD
40333;ZH
40335;BS
40336;ZH
40337;ZH
40339;ZH
40340;VD
40342;ZH
40343;BS
40344;Genève
40345;VD
40346;VD
40347;BE
40348;ZH
40349;ZH
40350;ZH
40351;VD
40352;VD
40354;Genève
40355;NE
40356;ZH
40357;ZH
40361;ZH
40371;
40372;Genève
40375;Genève
40377;ZH
40385;ZH
40386;Genève
40387;ZH
40390;ZH
40391;ZH
40392;NE
40394;BE
40395;NE
40396;BS
40397;Genève
40398;FR
40399;FR
40400;Genève
40401;BE
40402;BE
40403;ZH
40404;ZH
40405;NE
40406;BS
40407;BS
40408;BE
40409;ZH
40410;VD
40411;ZH
40412;NE
40413;BS
40414;BS
40415;VD
40416;VD
40417;VD
40418;VD
40419;NE
40420;Genève
40421;Genève
40422;VD
40423;VD
40424;ZH
40425;VD
40426;Genève
40427;Genève
40428;ZH
40429;BS
40430;ZH
40431;VD
40432;BE
40433;VD
40435;VD
40436;Genève
40437;VD
40438;VD
40440;ZH
40441;ZH
40442;BE
40445;ZH
40446;AG
40447;VD
40448;BS
40449;Genève
40450;Genève
40451;SO
40455;NE
40458;FR
40459;ZH
40462;ZH
40463;BS
40464;BS
40466;Genève
40467;VD
40469;BE
40473;ZH
40474;ZH
40475;ZH
40476;ZH
40477;VD
40479;ZH
40480;ZH
40482;ZH
40483;BE
40484;ZH
40485;ZH
40486;BS
40487;ZH
40488;BS
40489;VD
40492;BE
40493;VD
40496;ZH
40499;BE
40500;Genève
40501;BE
40506;NE
40510;BS
40511;Genève
40512;VD
40513;Genève
40514;ZH
40516;BS
40517;Genève
40518;ZH
40520;ZH
40521;ZH
40522;VD
40524;ZH
40529;BE
40530;VD
40533;ZH
40534;VD
40538;VD
40539;ZH
40541;VD
40542;ZH
40544;ZH
40545;VD
40550;VD
40551;BS
40552;Genève
40553;VD
40554;ZH
40556;ZH
40562;BE
40563;VD
40564;ZH
40565;VD
40566;BE
40567;VD
40568;LU
40569;ZH
40571;BE
40572;ZH
40574;NE
40575;Genève
40576;BE
40577;BS
40578;VD
40579;Genève
40580;ZH
40581;ZH
40582;BS
40583;Genève
40584;FR
40585;ZH
40586;VD
40588;ZH
40589;GR
40590;VD
40591;VD
40592;Genève
40593;VD
40595;BE
40598;BE
40599;VD
40600;Genève
40601;BE
40602;ZH
40603;BS
40604;BS
40605;LU
40606;ZH
40608;BS
40609;Genève
40610;BE
40612;VD
40613;Genève
40615;ZH
40617;ZH
40618;VD
40620;VD
40621;BS
40623;BE
40624;NE
40626;VD
40627;NE
40628;Genève
40630;ZH
40631;Genève
40632;
40634;JU
40635;VD
40636;VD
40637;NE
40638;Genève
40639;FR
40641;FR
40644;FR
40645;BS
40646;Genève
40649;ZH
40650;VD
40651;ZH
40653;BE
40654;BS
40655;FR
40657;Genève
40658;ZH
40659;ZH
40661;ZH
40662;ZH
40663;Genève
40664;VD
40665;Genève
40666;Genève
40667;Genève
40669;BE
40671;BS
40672;FR
40673;SG
40675;BE
40676;VD
40677;Genève
40678;ZH
40679;BS
40681;BE
40682;ZH
40684;ZH
40685;ZH
40686;Genève
40687;Genève
40688;ZH
40692;ZH
40693;NE
40694;ZH
40696;BS
40701;BS
40702;Genève
40704;Genève
40705;VD
40706;ZH
40708;Genève
40709;VD
40711;Genève
40712;VD
40714;Genève
40719;Genève
40720;VD
40721;ZH
40723;ZH
40724;ZH
40725;Genève
40726;VD
40730;ZH
40733;ZH
40734;BS
40735;BS
40736;VD
40737;ZH
40739;BS
40741;VD
40742;VD
40743;BE
40744;VD
40745;FR
40749;ZH
40750;VD
40751;Genève
40752;ZH
40753;VD
40754;ZH
40755;GR
40756;VD
40757;NE
40758;Genève
40759;VD
40760;ZH
40761;BE
40763;BE
40765;VD
40766;BE
40769;VD
40770;BS
40773;VD
40775;ZH
40776;FR
40777;ZH
40779;Genève
40780;Genève
40781;BS
40784;Genève
40785;ZH
40786;VD
40787;Genève
40788;Genève
40790;Genève
40791;ZH
40795;BE
40796;ZH
40798;ZG
40803;BE
40806;Genève
40807;ZH
40814;LU
40815;Genève
40816;BS
40817;VD
40818;SG
40819;BE
40820;BE
40822;BE
40823;ZH
40827;ZH
40828;VD
40832;BE
40834;ZH
40835;ZH
40836;VD
40837;BS
40838;ZH
40839;Genève
40840;ZH
40841;Genève
40842;ZH
40843;BS
40844;Genève
40845;BS
40846;ZH
40850;ZH
40851;BE
40852;VD
40854;BS
40855;ZH
40858;VD
40860;ZH
40861;BS
40864;Genève
40872;FR
40874;ZH
40877;BS
40878;Genève
40881;VD
40883;VD
40884;ZH
40885;BE
40886;VD
40887;BS
40889;Genève
40893;BE
40895;Genève
40898;BS
40900;ZH
40901;BE
40902;Genève
40905;Genève
40906;ZH
40927;VD
40928;Genève
40930;ZH
40931;ZH
40933;BE
40934;BE
40936;NE
40947;Genève
40948;VD
40950;SG
40951;Genève
40952;Genève
40953;BE
40954;Genève
40955;Île-de-France
40981;ZH
41008;VD
41012;VD
41029;BS
41047;Genève
41054;ZH
41059;BE
41060;Genève
41061;BE
41083;Genève
41112;ZH
41113;ZH
41115;ZH
41119;Genève
41120;BS
41152;BS
41157;ZH
41191;VD
41192;VD
41198;ZH
41199;ZH
41201;ZH
41203;ZH
41204;ZH
41205;ZH
41206;NE
41207;FR
41208;ZH
41209;VD
41210;BS
41213;FR
41214;ZH
41215;ZH
41216;BE
41219;ZH
41220;ZH
41221;VD
41223;Genève
41224;FR
41225;ZH
41227;BS
41229;BS
41230;BS
41240;Genève
41241;ZH
41242;Genève
41243;VD
41244;ZH
41245;BE
41246;FR
41253;VD
41256;
41258;BE
41259;ZH
41261;ZH
41262;ZH
41263;ZH
41264;Genève
41266;ZH
41269;ZH
41277;ZH
41280;BS
41289;BE
41295;BS
41302;ZH
41306;ZH
41312;VD
41317;Genève
41319;BS
41322;VD
41325;BS
41330;BS
41337;NE
41338;ZH
41341;BE
41345;VD
41347;Genève
41350;BE
41351;Genève
41352;SG
41355;VD
41356;VD
41361;ZH
41366;VD
41368;BE
41374;FR
41375;Genève
41377;BE
41378;BS
41379;ZH
41381;ZH
41387;NE
41394;VD
41395;BE
41396;VD
41398;VD
41400;ZH
41403;Genève
41405;Genève
41409;Genève
41411;Genève
41416;
41424;BE
41426;BS
41427;ZH
41429;NE
41430;VD
41441;ZH
41446;ZH
41449;BE
41450;ZH
41454;ZH
41459;ZH
41471;ZH
41473;ZH
41474;ZH
41475;VD
41476;BS
41478;ZH
41479;BS
41483;Genève
41485;Genève
41488;ZH
41492;BS
41493;BE
41495;BE
41496;NE
41499;VD
41501;ZH
41502;NE
41506;BS
41507;VD
41510;VD
41513;ZH
41516;BE
41517;VD
41518;ZH
41519;ZH
41522;BS
41527;ZH
41531;ZH
41534;
41535;VD
41536;
41537;
41578;Genève
41579;
41590;ZH
41593;BS
41601;ZH
41603;Genève
41607;VD
41608;BS
41611;VD
41619;ZH
41623;ZH
41626;VD
41632;BS
41633;ZH
41635;BS
41637;VD
41638;Genève
41639;Île-de-France
41645;Genève
41649;ZH
41655;BS
41658;ZH
41663;ZH
41664;ZH
41669;VD
41670;NE
41671;BE
41672;ZH
41673;VD
41674;BS
41678;ZH
41679;Genève
41680;Genève
41682;BE
41687;Genève
41694;ZH
41695;VD
41709;ZH
41713;BE
41714;BE
41724;ZH
41725;ZH
41729;Genève
41730;Genève
41735;VD
41736;BS
41745;BE
41746;ZH
41747;VD
41749;BE
41751;BE
41768;BS
41780;Genève
41792;ZH
41794;Brussels Hoofdstedelijk Gewest
41795;Genève
41796;Genève
41801;Genève
41802;FR
41803;BS
41805;ZH
41806;VD
41807;VD
41808;ZH
41809;ZH
41810;ZH
41811;VD
41817;ZH
41818;BS
41819;ZH
41822;FR
41823;ZH
41824;VD
41825;ZH
41827;ZH
41828;BE
41829;ZH
